year,branch,gender,type,tenth,twelve,higher_education,take_notes,prefer_tostudy,hoursstudy,time_relaxing,studymode,active_backlogs,backlog_history,participate_activities,attendance,cgpa,cgpaup,backlog,grade
4,CSE,Male,H,93,93,Maybe,No,Just before exam,0,>5 hours,Online Tutorials,4 & above,6,Occasionally,80-90,5,5,4,Low
4,CSE,Male,H,97,97.6,Maybe,Occasionally,Daily,1,2-5 hours,"Online Tutorials, Class notes, Textbook",0,0,Occasionally,above 90,9.27,9.27,0,Excellent
4,CSE,Male,D,88,94.2,Maybe,Occasionally,Just before exam,0,>5 hours,Class notes,0,4,Occasionally,80-90,6.2,6.2,0,Below_average
4,CSE,Male,D,88,96.7,Maybe,Yes,Daily,2,2-5 hours,"Online Tutorials, Class notes, Textbook",0,0,Always,above 90,7.36,7.36,0,Average
4,CSE,Male,H,97,93.5,No,No,Just before exam,0,>5 hours,"Online Tutorials, Class notes, Textbook",0,0,Occasionally,above 90,8.06,8.06,0,Good
4,CSE,Female,D,95,96.2,Yes,Yes,Daily,3,2-5 hours,"Online Tutorials, Class notes",0,0,Always,above 90,9.14,9.14,0,Excellent
4,CSE,Male,D,87,97,No,Yes,Just before exam,1,>5 hours,"Online Tutorials, Class notes",0,0,Never,80-90,7.3,7.3,0,Average
4,ECE,Male,H,88,83.2,Yes,Occasionally,Just before exam,0,2-5 hours,"Online Tutorials, Class notes, Textbook",4 & above,8,Occasionally,80-90,5,5,4,Low
4,ECE,Male,H,99,99,Maybe,Yes,Daily,3,<2 hours,"Online Tutorials, Class notes, Textbook",4 & above,5,Always,above 90,5.08,5.08,4,Low
4,CSE,Male,D,92,87,No,No,Just before exam,0,>5 hours,"Online Tutorials, Class notes",0,1,Occasionally,80-90,6.46,6.46,0,Below_average
4,CSE,Male,H,93,94.7,Maybe,Occasionally,Just before exam,1,>5 hours,Class notes,0,0,Occasionally,80-90,6.2,6.2,0,Below_average
4,CSE,Female,H,100,93.2,Maybe,No,Just before exam,0,>5 hours,"Online Tutorials, Class notes, Textbook",0,0,Occasionally,80-90,9.53,9.53,0,Excellent
4,CSE,Male,H,90,85,Maybe,No,Just before exam,1,<2 hours,Class notes,0,0,Occasionally,80-90,6,6,0,Below_average
4,CSE,Male,H,95,96.4,Yes,Yes,Daily,1,2-5 hours,"Online Tutorials, Class notes, Textbook",0,0,Occasionally,above 90,9.83,9.83,0,Excellent
4,CSE,Male,D,98,96.7,Yes,Yes,Just before exam,0,2-5 hours,"Online Tutorials, Class notes",0,0,Always,80-90,9.06,9.06,0,Excellent
4,CSE,Female,H,92,97,Yes,Occasionally,Just before exam,0,>5 hours,"Online Tutorials, Class notes",0,6,Occasionally,80-90,5.95,5.95,0,Low
4,EIE,Female,H,95.9,98,Maybe,Yes,Just before exam,0,2-5 hours,Class notes,0,0,Always,above 90,8.6,8.6,0,Excellent
4,CSE,Male,H,95,96.9,Yes,Occasionally,Just before exam,1,>5 hours,"Class notes, Textbook",0,0,Always,75-80,9.34,9.34,0,Excellent
4,CSE,Male,H,92,95.6,Yes,Yes,Just before exam,1,<2 hours,Class notes,0,0,Occasionally,above 90,6.8,6.8,0,Average
4,CSE,Male,H,88,91.5,Maybe,No,Just before exam,1,>5 hours,"Online Tutorials, Class notes",0,1,Never,above 90,6.51,6.51,0,Average
4,MEE,Male,H,99.97,99.97,No,No,Just before exam,0,>5 hours,Class notes,1,1,Occasionally,75-80 %,7.95,7.95,1,Average
4,CSE,Female,D,87,93,Maybe,Yes,Just before exam,0,2-5 hours,"Online Tutorials, Class notes",0,1,Never,80-90,7.4,7.4,0,Average
4,CSE,Female,D,95,91,Maybe,Yes,Just before exam,1,2-5 hours,"Online Tutorials, Class notes, Textbook",0,0,Occasionally,above 90,8.09,8.09,0,Good
4,ECE,Male,H,95,96.9,Maybe,Occasionally,Just before exam,0,>5 hours,"Online Tutorials, Class notes",0,0,Occasionally,80-90 %,7.47,7.47,0,Average
4,CSE,Male,D,96,86,Yes,Yes,Just before exam,1,>5 hours,Class notes,0,0,Always,above 90 %,8.3,8.3,0,Good
4,CSE,Male,H,95,85,Maybe,No,Just before exam,0,>5 hours,Class notes,1,12,Never,75-80 %,5.8,5.8,1,Low
4,MEE,Male,D,80,69,No,No,Just before exam,0,>5 hours,Class notes,4 & above,10,Never,75-80 %,1,1,4,Low
4,CSE,Male,H,85,89,Maybe,No,Just before exam,0,>5 hours,"Online Tutorials, Class notes",0,0,Always,75-80 %,7.2,7.2,0,Average
4,CSE,Male,D,91.5,82.7,Yes,Yes,Just before exam,0,>5 hours,Online Tutorials,0,0,Occasionally,80-90 %,8.2,8.2,0,Good
4,CSE,Male,H,92,88.8,Yes,No,Just before exam,0,>5 hours,"Online Tutorials, Class notes, Textbook",0,1,Occasionally,75-80 %,5.98,5.98,0,Low
4,CSE,Female,H,65,91.9,Yes,Occasionally,Just before exam,0,>5 hours,Class notes,0,0,Always,80-90 %,6.59,6.59,0,Average
4,CSE,Male,H,69,69,Yes,No,Just before exam,0,>5 hours,Class notes,0,0,Occasionally,80-90 %,9.98,9.98,0,Excellent
4,CSE,Female,H,97,97.1,Maybe,Yes,Just before exam,2,2-5 hours,"Online Tutorials, Class notes, Textbook",0,0,Occasionally,above 90 %,8.82,8.82,0,Excellent
4,CSE,Male,H,93,94.3,Yes,Yes,Just before exam,0,>5 hours,Class notes,0,0,Occasionally,above 90 %,7.44,7.44,0,Average
4,CSE,Male,H,95,96.7,Yes,Occasionally,Just before exam,1,>5 hours,"Online Tutorials, Class notes",0,0,Always,above 90 %,7.52,7.52,0,Good
4,CSE,Male,D,89.5,90.2,Yes,Occasionally,Just before exam,2,2-5 hours,"Class notes, Textbook",0,0,Occasionally,80-90 %,8.67,8.67,0,Excellent
4,ECE,Female,H,100,93.4,Maybe,Yes,Just before exam,1,2-5 hours,"Online Tutorials, Class notes",0,0,Occasionally,above 90 %,9.11,9.11,0,Excellent
4,CSE,Male,D,83,84,Maybe,Yes,Just before exam,1,2-5 hours,Textbook,4 & above,11,Never,80-90 %,5.07,5.07,4,Low
4,EIE,Female,H,84,78.6,No,Yes,Just before exam,1,2-5 hours,"Online Tutorials, Class notes",0,0,Always,80-90 %,7.15,7.15,0,Average
4,CSE,Female,D,98,96,Maybe,Yes,Just before exam,1,2-5 hours,"Online Tutorials, Class notes, Textbook",0,0,Occasionally,80-90 %,7.96,7.96,0,Good
4,EIE,Female,H,93,94,No,Yes,Just before exam,1,2-5 hours,Class notes,0,0,Always,above 90 %,6.96,6.96,0,Average
4,ECE,Female,H,98,97.1,No,Yes,Just before exam,1,2-5 hours,"Online Tutorials, Class notes, Textbook",0,0,Occasionally,above 90 %,8.35,8.35,0,Good
4,CSE,Male,H,98,96,Maybe,Yes,Just before exam,1,2-5 hours,"Online Tutorials, Class notes",0,0,Occasionally,80-90 %,7.8,7.8,0,Good
4,CSE,Male,D,91.8,90.2,Maybe,No,Just before exam,0,>5 hours,"Online Tutorials, Class notes",0,0,Occasionally,75-80 %,8.25,8.25,0,Good
4,CSE,Male,D,95,93,Yes,No,Just before exam,3,>5 hours,Online Tutorials,2,18,Occasionally,80-90 %,5.3,5.3,2,Low
4,CSE,Male,H,100,98,Yes,No,Just before exam,1,>5 hours,Class notes,0,10,Never,75-80 %,6.8,6.8,0,Average
4,CSE,Female,H,98,98.3,No,Yes,Just before exam,0,>5 hours,"Class notes, Textbook",0,0,Occasionally,above 90 %,9.3,9.3,0,Excellent
4,MEE,Male,D,97,79.4,Yes,Occasionally,Just before exam,2,>5 hours,Class notes,4 & above,4,Occasionally,75-80 %,3.8,3.8,4,Low
4,MEE,Male,H,100,72,Maybe,Occasionally,Just before exam,1,2-5 hours,Class notes,4 & above,4,Occasionally,80-90 %,5.67,5.67,4,Low
4,EEE,Male,H,90,90.4,Maybe,No,Just before exam,0,>5 hours,Class notes,4 & above,11,Occasionally,80-90 %,5.2,5.2,4,Low
4,CSE,Male,D,92.83,89.33,Yes,No,Just before exam,0,2-5 hours,"Class notes, Textbook",0,0,Occasionally,75-80 %,9.2,9.2,0,Excellent
4,CSE,Female,H,95,94.2,Maybe,Yes,Just before exam,2,>5 hours,"Online Tutorials, Class notes",0,1,Occasionally,80-90 %,7.2,7.2,0,Average
4,ECE,Male,H,97,74,Maybe,Occasionally,Just before exam,1,>5 hours,"Online Tutorials, Class notes, Textbook",1,3,Always,75-80 %,7.2,7.2,1,Below_average
4,MEE,Male,D,97,95.6,Yes,Occasionally,Just before exam,0,>5 hours,Online Tutorials,0,0,Never,75-80 %,7.29,7.29,0,Average
4,CSE,Male,H,95,93,Maybe,Occasionally,Just before exam,0,>5 hours,Class notes,0,0,Always,75-80 %,6.28,6.28,0,Below_average
4,CSE,Male,D,100,92,Yes,Occasionally,Just before exam,3,>5 hours,Class notes,4 & above,18,Occasionally,75-80 %,5,5,4,Low
4,ECE,Male,D,92,94.2,Maybe,No,Just before exam,0,>5 hours,Online Tutorials,4 & above,7,Never,75-80 %,5.5,5.5,4,Low
4,CSE,Male,H,70,97.4,Yes,Occasionally,Just before exam,1,2-5 hours,Class notes,0,0,Occasionally,80-90 %,6.4,6.4,0,Below_average
4,ECE,Male,H,100,97,Maybe,Yes,Just before exam,0,>5 hours,"Class notes, Textbook",0,0,Occasionally,80-90 %,8.06,8.06,0,Good
4,CSE,Male,D,93,93,Yes,No,Just before exam,0,>5 hours,"Online Tutorials, Class notes",0,0,Always,75-80 %,7.3,7.3,0,Average
4,CSE,Male,D,88,94,Yes,No,Just before exam,0,<2 hours,Class notes,0,0,Always,80-90 %,6.7,6.7,0,Average
4,CSE,Female,D,95,96.2,Yes,Yes,Daily,3,2-5 hours,"Online Tutorials, Class notes",0,0,Always,above 90 %,9.14,9.14,0,Excellent
4,EIE,Female,H,97,97.9,Yes,Occasionally,Just before exam,0,>5 hours,"Online Tutorials, Class notes",0,0,Occasionally,above 90 %,8.9,8.9,0,Excellent
1,ECE,Male,H,84.4,92.7,Yes,Yes,Just before exam,0,>5 hours,Class notes,1,4,Never,80-90 %,6.13,6.13,1,Below_average
4,CSE,Female,D,89.5,89.5,Maybe,Yes,Just before exam,2,<2 hours,"Online Tutorials, Class notes, Textbook",0,0,Always,80-90 %,7.77,7.77,0,Good
4,CSE,Female,H,92,87,Yes,Occasionally,Just before exam,0,>5 hours,"Online Tutorials, Class notes",3,3,Occasionally,75-80 %,5.2,5.2,3,Low
4,CSE,Female,H,95,90,Yes,Yes,Just before exam,2,>5 hours,"Class notes, Textbook",3,2,Occasionally,80-90 %,5.5,5.5,3,Low
4,CSE,Male,H,93,94.7,Maybe,Occasionally,Daily,1,2-5 hours,"Online Tutorials, Class notes, Textbook",0,0,Never,80-90 %,8.39,8.39,0,Good
1,ECE,Male,H,84.4,92.7,Yes,Yes,Just before exam,0,>5 hours,Class notes,1,4,Never,80-90 %,6.13,6.13,1,Below_average
4,ECE,Female,H,97,94.7,Yes,Yes,Daily,2,<2 hours,Textbook,0,0,Occasionally,above 90 %,8.08,8.08,0,Good
3,CSE,Female,H,99,99,No,No,Just before exam,0,>5 hours,Textbook,0,0,Never,above 90 %,9.3,9.3,0,Excellent
4,ECE,Male,H,100,94.8,Maybe,No,Just before exam,0,>5 hours,Class notes,0,0,Occasionally,80-90 %,7.03,7.03,0,Average
3,CSE,Female,D,93,97.3,Maybe,Yes,Daily,2,2-5 hours,"Class notes, Textbook",0,0,Never,above 90 %,7.16,7.16,0,Average
3,CSE,Female,D,93,97.3,Maybe,Yes,Daily,2,2-5 hours,"Class notes, Textbook",0,0,Never,above 90 %,7.16,7.16,0,Average
4,ECE,Female,H,92,92,Yes,Occasionally,Just before exam,1,>5 hours,Class notes,0,1,Occasionally,80-90 %,6.31,6.31,0,Below_average
4,ECE,Female,H,97,97.4,No,Yes,Daily,1,>5 hours,Class notes,0,0,Occasionally,80-90 %,9.03,9.03,0,Excellent
3,CSE,Male,H,93.1,89.4,Yes,No,Just before exam,0,>5 hours,Class notes,0,0,Occasionally,75-80 %,7.73,7.73,0,Good
3,CSE,Female,H,95,76,No,Yes,Just before exam,1,2-5 hours,"Online Tutorials, Class notes, Textbook",0,0,Never,above 90 %,7.7,7.7,0,Good
3,CSE,Male,H,92,87,No,Yes,Daily,1,<2 hours,"Online Tutorials, Class notes, Textbook",0,0,Occasionally,80-90 %,7,7,0,Average
3,CSE,Male,D,89.3,74,No,Occasionally,Just before exam,1,2-5 hours,"Online Tutorials, Class notes",0,0,Occasionally,above 90 %,7.12,7.12,0,Average
3,CSE,Male,D,89.3,74,No,Occasionally,Just before exam,1,2-5 hours,"Online Tutorials, Class notes",0,0,Occasionally,above 90 %,7.12,7.12,0,Average
3,CSE,Male,D,93,93,No,Yes,Just before exam,1,2-5 hours,"Online Tutorials, Class notes, Textbook",0,0,Never,80-90 %,7.4,7.4,0,Average
3,CSE,Female,H,93,94.9,No,Occasionally,Just before exam,0,2-5 hours,Textbook,0,0,Occasionally,75-80 %,8.95,8.95,0,Excellent
3,CSE,Female,H,93,97.6,No,Yes,Just before exam,0,<2 hours,"Online Tutorials, Class notes, Textbook",0,0,Occasionally,above 90 %,8.04,8.04,0,Good
3,CSE,Male,H,92,94.5,Yes,Yes,Daily,1,2-5 hours,"Online Tutorials, Class notes",0,0,Occasionally,above 90 %,7.15,7.15,0,Average
3,Other,Female,D,80,90,Yes,Yes,Just before exam,0,>5 hours,"Online Tutorials, Class notes",0,0,Occasionally,80-90 %,8.9,8.9,0,Excellent
2,MEE,Female,D,88,97,Yes,Occasionally,Just before exam,0,>5 hours,Online Tutorials,0,0,Always,75-80 %,7.8,7.8,0,Good
2,MEE,Female,H,89,90,Maybe,No,Just before exam,0,>5 hours,"Online Tutorials, Class notes, Textbook",0,0,Always,75-80 %,8.9,8.9,0,Excellent
4,MEE,Male,D,9.8,79,Yes,Occasionally,Just before exam,0,>5 hours,Class notes,4 & above,16,Occasionally,75-80 %,4,4,4,Low
4,CSE,Male,H,9.3,83.4,Maybe,No,Just before exam,0,>5 hours,Online Tutorials,0,1,Always,above 90 %,7,7,0,Average
4,CSE,Male,D,90,92,Yes,No,Just before exam,2,2-5 hours,"Online Tutorials, Textbook",0,0,Occasionally,75-80 %,8.01,8.01,0,Good
4,MEE,Male,H,95,96.7,Maybe,Yes,Just before exam,1,2-5 hours,"Online Tutorials, Class notes",0,0,Occasionally,75-80 %,8.4,8.4,0,Good
4,MEE,Male,D,9.2,84.7,No,Occasionally,Just before exam,0,2-5 hours,"Online Tutorials, Class notes",1,5,Occasionally,75-80 %,6.8,6.8,1,Below_average
4,EEE,Male,H,100,96.2,Maybe,No,Just before exam,0,>5 hours,Class notes,0,0,Occasionally,75-80 %,7.81,7.81,0,Good
4,MEE,Female,H,100,97.5,Yes,Yes,Just before exam,3,2-5 hours,"Class notes, Textbook",0,0,Always,80-90 %,9,9,0,Excellent
4,ECE,Male,H,100,97,Maybe,Yes,Just before exam,0,>5 hours,Textbook,0,0,Occasionally,75-80 %,8.06,8.06,0,Good
4,MEE,Male,D,92,97.6,Maybe,Yes,Just before exam,0,>5 hours,Class notes,0,0,Occasionally,80-90 %,7.73,7.73,0,Good
4,MEE,Male,H,93,93,Yes,Occasionally,Just before exam,1,2-5 hours,"Class notes, Textbook",0,0,Occasionally,80-90 %,6.9,6.9,0,Average
4,MEE,Female,H,90,96.4,Yes,Yes,Just before exam,0,>5 hours,Class notes,0,0,Occasionally,80-90 %,8,8,0,Good
3,Other,Male,H,96,92,Yes,Occasionally,Daily,3,>5 hours,Textbook,0,0,Occasionally,75-80 %,6.6,6.6,0,Average
4,MEE,Male,H,92,94.8,No,No,Just before exam,1,>5 hours,"Online Tutorials, Class notes",0,0,Occasionally,75-80 %,8.5,8.5,0,Excellent
3,Other,Male,D,80,75,Yes,Occasionally,Just before exam,0,2-5 hours,"Online Tutorials, Class notes, Textbook",1,1,Always,75-80 %,6.4,6.4,1,Below_average
4,CSE,Male,D,100,65,No,Occasionally,Just before exam,2,2-5 hours,Textbook,0,0,Occasionally,above 90 %,8,8,0,Good
4,MEE,Male,D,93,90.8,Maybe,Occasionally,Just before exam,0,>5 hours,Class notes,0,0,Occasionally,75-80 %,7.68,7.68,0,Good
4,MEE,Male,D,92,77,Maybe,Yes,Just before exam,3,>5 hours,"Online Tutorials, Class notes, Textbook",0,0,Always,80-90 %,8.1,8.1,0,Good
4,ECE,Male,H,88,83.2,Yes,Occasionally,Just before exam,1,>5 hours,Class notes,4 & above,14,Occasionally,80-90 %,5,5,4,Low
4,MEE,Male,D,92,77,Maybe,Yes,Just before exam,3,>5 hours,"Online Tutorials, Class notes, Textbook",0,0,Always,80-90 %,8.1,8.1,0,Good
4,ECE,Male,D,86.7,94.5,Yes,Occasionally,Just before exam,1,>5 hours,"Class notes, Textbook",0,0,Occasionally,80-90 %,8.08,8.08,0,Good
4,MEE,Male,H,95,96,Maybe,No,Just before exam,1,2-5 hours,Class notes,0,0,Never,80-90 %,8.5,8.5,0,Excellent
4,ECE,Male,H,9.5,96.9,Maybe,Occasionally,Just before exam,0,2-5 hours,"Online Tutorials, Class notes",0,0,Occasionally,80-90 %,7.47,7.47,0,Average
4,ECE,Female,H,8.6,860,No,Yes,Daily,1,2-5 hours,Class notes,4 & above,5,Occasionally,80-90 %,5,5,4,Low
4,ECE,Male,H,82,90.6,Yes,No,Daily,1,>5 hours,"Online Tutorials, Class notes, Textbook",0,13,Occasionally,above 90 %,6.4,6.4,0,Below_average
4,ECE,Male,H,82,85.3,Maybe,Occasionally,Just before exam,0,>5 hours,"Class notes, Textbook",0,1,Occasionally,80-90 %,6.56,6.56,0,Average
4,CSE,Male,D,10,95,Yes,Yes,Just before exam,2,2-5 hours,"Online Tutorials, Class notes",0,0,Never,above 90 %,10,10,0,Excellent
4,ECE,Male,H,88,94.5,Yes,Occasionally,Just before exam,1,2-5 hours,"Class notes, Textbook",0,3,Occasionally,80-90 %,6,6,0,Below_average
4,Other,Male,D,82,70,Yes,Yes,Just before exam,0,>5 hours,Class notes,0,1,Occasionally,above 90 %,7.4,7.4,0,Average
4,MEE,Female,H,100,92.8,Maybe,Occasionally,Just before exam,1,2-5 hours,"Online Tutorials, Class notes",0,0,Occasionally,80-90 %,7.89,7.89,0,Good
4,CSE,Male,D,90,95,No,Yes,Just before exam,2,>5 hours,Online Tutorials,0,0,Occasionally,80-90 %,8.5,8.5,0,Excellent
4,ECE,Male,D,98,95,Yes,Yes,Daily,1,2-5 hours,"Online Tutorials, Class notes, Textbook",0,0,Occasionally,above 90 %,8.16,8.16,0,Good
4,MEE,Male,H,95,94.5,Yes,Yes,Daily,2,2-5 hours,Textbook,0,0,Always,75-80 %,8,8,0,Good
4,CSE,Male,D,10,95,Yes,Yes,Just before exam,2,2-5 hours,"Online Tutorials, Class notes",0,0,Never,above 90 %,10,10,0,Excellent
4,CSE,Male,D,92,87.7,Yes,No,Just before exam,0,>5 hours,Class notes,1,0,Occasionally,80-90 %,6.28,6.28,1,Below_average
4,MEE,Male,D,97,96,Yes,Occasionally,Just before exam,0,>5 hours,Online Tutorials,0,0,Never,75-80 %,7.3,7.3,0,Average
4,ECE,Male,D,98,95,Yes,Yes,Daily,1,2-5 hours,"Online Tutorials, Class notes, Textbook",0,0,Occasionally,above 90 %,8.16,8.16,0,Good
4,ECE,Female,D,9.2,89,Yes,No,Just before exam,0,>5 hours,"Class notes, Textbook",2,6,Never,80-90 %,5.4,5.4,2,Low
4,MEE,Male,D,93,90.8,Maybe,Occasionally,Just before exam,0,>5 hours,Class notes,0,0,Occasionally,75-80 %,7.68,7.68,0,Good
4,CSE,Male,H,98,96.6,Yes,Occasionally,Just before exam,1,>5 hours,"Online Tutorials, Class notes, Textbook",0,0,Occasionally,above 90 %,9.01,9.01,0,Excellent
4,CSE,Female,H,98,94.5,Maybe,Occasionally,Just before exam,1,2-5 hours,Class notes,0,1,Occasionally,75-80 %,7,7,0,Average
4,CSE,Female,H,9.7,97.8,Maybe,No,Just before exam,0,>5 hours,Textbook,0,0,Occasionally,80-90 %,8,8,0,Good
4,CSE,Female,H,97,97,Maybe,Occasionally,Just before exam,1,2-5 hours,"Online Tutorials, Class notes, Textbook",0,0,Always,75-80 %,7.8,7.8,0,Good
4,ECE,Male,H,81,87,Yes,Occasionally,Just before exam,2,>5 hours,Online Tutorials,4 & above,0,Always,75-80 %,6.5,6.5,4,Low
4,CSE,Female,H,75,87,Maybe,Yes,Daily,2,2-5 hours,Textbook,0,0,Occasionally,75-80 %,81,8.1,0,Good
4,ECE,Male,H,88,93.2,Yes,Occasionally,Just before exam,1,2-5 hours,"Class notes, Textbook",0,0,Occasionally,75-80 %,7.54,7.54,0,Good
4,CSE,Male,D,88,86.2,Maybe,Occasionally,Just before exam,2,>5 hours,"Online Tutorials, Class notes, Textbook",3,7,Always,75-80 %,5.5,5.5,3,Low
4,ECE,Male,D,80,85,Yes,No,Just before exam,1,<2 hours,"Online Tutorials, Class notes, Textbook",0,0,Always,75-80 %,57,5.7,0,Low
4,ECE,Male,D,80,85,Yes,No,Just before exam,1,<2 hours,"Online Tutorials, Class notes, Textbook",0,0,Always,75-80 %,57,5.7,0,Low
4,ECE,Male,H,90,85.8,Yes,No,Just before exam,0,>5 hours,Class notes,0,11,Never,75-80 %,5.99,5.99,0,Low
4,CSE,Male,H,80,90,Maybe,Occasionally,Just before exam,2,2-5 hours,"Online Tutorials, Class notes",0,7,Never,80-90 %,5.8,5.8,0,Low
